transaction_id,transaction_amount,transaction_frequency,transaction_hour,account_age_months,location_change,average_transaction_amount,is_anomaly
TXN100077,128.80260862078532,5,7,73,0,121.82381692796176,0
TXN100078,545.8155601538019,5,19,35,1,363.72522392933035,0
TXN100079,96.55173898988032,5,15,54,0,87.36016156321809,0
TXN100080,29.593047989049676,5,19,108,0,30.265157119376923,0
TXN100081,214.3369420705557,3,19,67,0,174.2791696026488,0
TXN100082,103.08045433216246,3,14,75,0,68.44526071104868,0
TXN100083,136.93740980341147,3,14,67,0,140.2451171596701,0
TXN100084,497.0405562873371,5,22,26,0,425.06472441772195,0
TXN100085,75.86397524618187,4,13,68,0,79.74890242644649,0
TXN100086,64.08924246921801,2,21,12,0,56.544773572695156,0
TXN100087,106.73846261519485,4,20,30,0,94.10665140993905,0
TXN100088,189.61886061707645,9,22,112,0,186.18809530403075,0
TXN100089,179.34304439889937,7,19,24,0,181.23550250594644,0
TXN100090,81.83579501447616,4,8,105,1,86.62134283471637,0
TXN100091,131.81179401919385,4,10,50,0,111.4445977610159,0
TXN100092,233.1159332830812,9,9,24,0,263.23177296787367,0
TXN100093,279.007971873062,5,8,32,0,306.4614833534028,0
TXN100094,3264.5038167557564,24,5,13,1,1336.3598302950907,1
TXN100095,81.13845702290575,4,21,59,1,58.86455948819449,0
TXN100096,307.5219366533161,3,10,36,0,308.2007210188265,0
TXN100097,673.0077631525153,4,19,101,0,591.4769469678648,0
TXN100098,385.16345897911185,9,17,100,0,276.720378851424,0
TXN100099,61.3032011064255,4,12,80,0,56.13308021575646,0
TXN100100,133.51057019396353,3,11,33,0,140.3725266199859,0
TXN100101,159.889009527399,5,19,28,0,134.1576305900978,0
TXN100102,146.24079895992583,4,10,97,0,157.67037497492728,0
TXN100103,68.85746241362325,4,10,62,0,39.297324079126945,0
TXN100104,144.30991388814516,3,7,59,0,85.20865383357062,0
TXN100105,49.72400362519614,12,18,13,0,52.762671522245824,0
TXN100106,212.93440244401037,5,10,98,0,166.6323183680596,0
TXN100107,397.6768021029612,5,17,114,0,320.29557080192944,0
TXN100108,212.35823231010957,3,17,115,0,149.14673674696482,0
TXN100109,98.64808100524388,4,21,111,0,79.2160348324959,0
TXN100110,70.42576290609533,4,7,58,0,67.22302231927306,0
TXN100111,1387.2076955465989,23,5,10,0,361.56404047341925,1
TXN100112,151.27892588253627,4,13,109,0,124.57026322010998,0
TXN100113,137.33345827769307,4,15,73,0,95.61230259337786,0
TXN100114,132.55603940765258,8,13,117,0,92.00483293771026,0
TXN100115,121.14267254394869,7,8,24,0,100.29972743197195,0
TXN100116,209.74323518405228,4,11,21,0,228.0189727335043,0
TXN100117,318.6455239454567,5,9,105,0,255.06344899178114,0
TXN100118,163.1809799304093,7,20,119,0,84.11336367187978,0
TXN100119,226.20826631859464,5,18,102,0,266.7264417850898,0
TXN100120,210.31218666164065,9,19,50,0,244.89805420338692,0
TXN100121,94.3925515034319,8,17,39,0,106.46873198811852,0
TXN100122,188.09389406995084,3,19,112,0,220.2797211113555,0
TXN100123,97.93684145155251,3,18,103,1,83.61200739620624,0
TXN100124,53.40245066405483,7,13,98,0,39.889946106808154,0
TXN100125,107.69348914903637,7,10,13,0,58.194055825534946,0
TXN100126,225.12233546117037,6,21,43,0,157.22915149717593,0
TXN100127,96.47115816659895,3,10,69,0,92.92001206162772,0
TXN100128,152.07747592493942,7,20,19,0,147.52170273297656,0
TXN100129,115.28282215987593,6,9,108,0,128.04624994364474,0
TXN100130,89.7087633063943,6,19,60,0,86.36042344969097,0
TXN100131,69.09413113074717,4,16,17,0,76.11291007202055,0
TXN100132,81.73319318405379,7,13,21,1,57.83240840281937,0
TXN100133,170.19306523705197,4,16,84,1,182.75280350001879,0
TXN100134,4062.942601610697,21,6,17,1,2012.1026278194327,1
TXN100135,287.17301984400547,2,17,59,0,177.07400446582614,0
TXN100136,120.09657712265059,4,13,80,0,107.51083806986743,0
TXN100137,1203.228095683822,17,5,3,0,541.3510129158785,1
TXN100138,152.29216168429713,5,10,86,0,162.88920789120505,0
TXN100139,272.1124086293108,8,11,114,1,215.594719490817,0
TXN100140,128.09914316036352,6,14,74,0,155.78011370544877,0
TXN100141,82.64464910804556,3,17,70,0,48.19909230278781,0
TXN100142,151.60097376121078,2,20,118,0,150.3321894481944,0
TXN100143,122.17205767110121,2,12,112,0,139.01638493197123,0
TXN100144,191.65463297216562,4,16,61,0,187.49609384554537,0
TXN100145,129.55804874768722,4,19,100,0,95.22700729893708,0
TXN100146,74.29864502511978,5,17,91,0,64.4744475053537,0
TXN100147,158.5295212508071,7,7,106,0,89.08025105485848,0
TXN100148,124.81482049501946,4,14,27,1,142.64272254022842,0
TXN100149,219.62224744254826,1,20,45,1,209.92079003931102,0
TXN100150,163.32784744747116,8,21,64,0,145.8335386604527,0
TXN100151,1200.0,19,4,2,1,194.12918450124513,1
TXN100152,309.1554471537379,6,13,35,0,245.6631359006777,0
TXN100153,344.04810217386193,5,16,79,1,332.7181972677305,0
TXN100154,66.81014177851436,3,17,85,0,52.992542217070934,0
TXN100155,544.9129276031831,7,19,115,0,460.1848005471928,0
TXN100156,165.14244897978287,3,9,86,0,163.97157373600703,0
TXN100157,140.10623210077932,5,17,78,0,152.51603523344406,0
TXN100158,43.355724397264346,1,14,39,0,42.51950147587904,0
TXN100159,103.10087163738392,4,17,68,0,82.9827235258805,0
TXN100160,61.30379597431217,3,22,77,0,62.564322709911025,0
TXN100161,180.81860142693526,5,22,71,0,126.05543162723819,0
TXN100162,307.8894732439801,1,8,61,0,327.17000557064694,0
TXN100163,1200.0,14,6,5,1,568.6736010893353,1
TXN100164,145.72860196588294,4,14,119,0,136.61126956334294,0
TXN100165,62.37981171518152,7,22,89,0,60.538027040957175,0
TXN100166,239.5935018621935,5,11,55,0,194.68910886020998,0
TXN100167,60.555057142777194,6,12,73,0,88.67312674477463,0
TXN100168,188.32952956446115,8,14,24,0,173.0528417525012,0
TXN100169,277.815699792611,1,15,20,0,246.8149347435185,0
TXN100170,59.472010633826095,3,21,50,0,56.1293579849457,0
TXN100171,153.69024272659033,3,11,77,0,150.38907607161548,0
TXN100172,288.4623850920272,9,7,25,0,319.25519623725916,0
TXN100173,87.97544050479175,4,19,42,0,79.14782384433006,0
TXN100174,106.39515896705949,4,17,118,0,118.5266380082807,0
TXN100175,168.8610358244646,6,13,94,0,135.82461068590723,0
TXN100176,155.08701054024445,4,12,72,0,150.06844831251334,0
TXN100177,678.3065520771924,6,13,36,0,632.7964178422228,0
TXN100178,119.59253887767544,4,20,48,0,105.76908693182577,0
TXN100179,161.2225339664472,5,16,40,0,129.67101462806582,0
TXN100180,230.5263441800257,3,9,90,0,272.9912568875573,0
TXN100181,224.0174614386021,3,22,75,1,187.9704722981431,0
TXN100182,85.36765188169998,5,21,64,0,90.36517953382437,0
TXN100183,116.42929641744658,5,18,55,0,100.7909061991229,0
TXN100184,548.4532112954817,3,21,63,0,538.1100885681832,0
TXN100185,44.40701628433537,5,12,120,0,47.020923608009966,0
TXN100186,299.63244291632395,5,19,119,1,354.3164315842146,0
TXN100187,6208.9102723712585,25,3,10,1,2804.5129535247092,1
TXN100188,139.24739627861462,8,8,72,0,187.0726773214995,0
TXN100189,177.72513924252758,5,18,22,0,165.95357961970032,0
TXN100190,82.54724291283745,6,18,16,0,67.35589185234441,0
TXN100191,143.22862303009447,7,19,68,0,164.02907865176795,0
TXN100192,212.32133273616546,4,19,50,0,224.9589771445462,0
TXN100193,129.11729920170146,3,22,19,0,143.77350628971126,0
TXN100194,161.17061664689442,5,20,75,0,185.16719500796844,0
TXN100195,177.68692242440946,6,12,30,0,207.2693331871263,0
TXN100196,112.47227659530415,5,11,14,0,88.83018397580399,0
TXN100197,24.637284394072072,7,16,102,0,29.475584699448266,0
TXN100198,153.90885515922082,6,11,62,0,177.8025262723621,0
TXN100199,1650.423685939173,28,2,1,0,1106.593542091015,1
TXN100200,165.69653555461971,5,9,24,0,239.95152591915445,0
TXN100201,255.30058247845187,5,7,73,0,197.96924431760127,0
TXN100202,132.3383806444698,3,7,78,0,124.83415057491253,0
TXN100203,168.74886159781752,5,16,70,0,129.9966563790277,0
TXN100204,118.04049307865172,4,21,118,0,128.90062202339388,0
TXN100205,72.57134727148049,3,15,28,0,75.53226089476193,0
TXN100206,94.22031301919823,10,21,56,0,56.254029875617356,0
TXN100207,234.83434140069693,5,13,64,0,247.9772187222776,0
TXN100208,111.05825728106552,7,13,23,0,58.08400218721149,0
TXN100209,104.77187134878203,3,11,13,0,125.12038847856762,0
TXN100210,91.44713903072179,6,18,48,0,105.53750342233208,0
TXN100211,583.751323740839,4,7,36,0,565.3310659435955,0
TXN100212,126.76026421464914,6,12,117,0,133.45464260392623,0
TXN100213,78.92103515206347,4,21,80,1,86.61100219788528,0
TXN100214,104.81462883913827,5,17,107,0,64.81430555516809,0
TXN100215,42.70054339847314,4,14,111,0,37.17972972323798,0
TXN100216,350.5936342146072,8,15,70,0,381.1607935632735,0
TXN100217,123.71188976542798,5,16,99,0,136.40875942461875,0
TXN100218,363.4088662019974,5,15,79,0,416.5824112333291,0
TXN100219,624.4782932193713,5,12,37,0,647.7098967979023,0
TXN100220,327.51091142326334,6,11,91,0,358.58465604034285,0
TXN100221,160.84336598831752,8,8,27,0,100.67408811852341,0
TXN100222,508.0001665966825,2,21,77,0,433.04117989749074,0
TXN100223,313.05117511178753,6,14,91,0,332.02183280751575,0
TXN100224,223.6997863101317,6,21,23,0,142.6543168094096,0
TXN100225,205.38007106603544,7,9,44,0,250.19859930999155,0
TXN100226,187.41430228016964,8,10,18,0,199.63156136929356,0
TXN100227,386.7268009107471,6,11,39,0,434.7736554399076,0
TXN100228,140.25693854295113,10,20,37,0,112.4739515395735,0
TXN100229,331.8305334386904,4,20,46,0,327.4660339544745,0
TXN100230,319.3604735989269,5,20,54,0,268.73031081415013,0
TXN100231,115.01391161381508,7,14,83,0,113.64097070241326,0
TXN100232,103.66700904001542,5,19,64,1,97.44457207385172,0
TXN100233,148.92753707497636,5,15,114,0,125.79403882501096,0
TXN100234,217.59077039744562,7,13,72,1,165.29726452929393,0
TXN100235,43.22506671765704,5,17,58,0,44.56360693195975,0
TXN100236,77.06114702534627,5,15,29,0,72.93203346827812,0
TXN100237,96.90845300628322,5,13,18,0,100.93584405170711,0
TXN100238,46.8654415442045,6,15,96,0,42.499514077017594,0
TXN100239,342.56022125210905,8,9,73,0,272.2816542462221,0
TXN100240,259.0929117023119,4,15,21,0,112.6864233653696,0
TXN100241,180.6330891373888,5,17,83,0,175.3383908297133,0
TXN100242,164.88488911948775,2,17,22,0,105.1586242826953,0
TXN100243,166.79580546348353,6,17,62,1,210.3187175985966,0
TXN100244,109.8899259289266,7,18,61,0,69.25854614651665,0
TXN100245,287.9198366662648,4,16,33,0,293.8133503561278,0
TXN100246,114.90844072639314,6,20,85,0,94.79903343417594,0
TXN100247,51.88223246749451,6,17,105,0,58.325516470805745,0
TXN100248,215.909736766011,5,14,32,0,165.82809037503645,0
TXN100249,394.62240345687803,4,19,20,0,370.8821574487142,0
TXN100250,102.01766475856031,8,19,118,0,107.44553956873612,0
TXN100251,97.678870726058,4,13,44,0,123.14412618440828,0
TXN100252,42.729204949054484,2,21,112,0,37.78983211995096,0
TXN100253,112.91886779982838,2,8,25,0,123.12408327179826,0
TXN100254,242.1038844537005,3,9,65,0,230.39844845424668,0
TXN100255,137.61042428958635,7,22,106,0,128.06630552380486,0
TXN100256,212.7918596073747,6,16,56,0,162.1160526412175,0
TXN100257,102.61463941200311,5,21,39,0,82.30304444233829,0
TXN100258,413.2260674977876,1,20,107,0,326.38154378489264,0
TXN100259,57.133142096930975,6,9,111,0,60.161406343245645,0
TXN100260,44.77698047361775,3,16,83,1,31.881421717893968,0
TXN100261,104.67120266777226,4,7,70,1,99.40149831187743,0
TXN100262,180.77505811371594,5,19,87,0,150.15695601207676,0
TXN100263,96.49979340279934,3,9,113,0,81.93982874821906,0
TXN100264,59.487998863958595,4,15,40,0,43.67364483794213,0
TXN100265,211.35095650043039,6,21,90,0,161.9884963707517,0
TXN100266,268.51292682373094,6,16,111,0,189.81827114919352,0
TXN100267,121.19906607245136,4,15,81,0,76.59136903781445,0
TXN100268,373.9258574888016,4,16,94,0,346.338273944599,0
TXN100269,172.0277530866158,5,19,75,0,153.26615675437463,0
TXN100270,28.92013666054333,4,12,54,0,20.86772571019619,0
TXN100271,145.79015886217908,3,11,53,1,120.61356601775681,0
TXN100272,555.8008836102216,1,10,44,0,524.9350985852365,0
TXN100273,101.53270196171025,8,9,34,0,92.88089537765335,0
TXN100274,175.65765644927487,5,21,66,0,187.13358893188445,0
TXN100275,427.4386933189985,5,11,27,0,380.3598553094129,0
TXN100276,334.2418233374899,8,18,38,0,296.2773453556087,0
TXN100277,112.87156295617213,5,10,99,0,96.4326844050246,0
TXN100278,39.288294673281335,4,21,47,0,33.47183982798195,0
TXN100279,239.42176030823495,7,13,59,1,233.44582026321024,0
TXN100280,139.44575301153765,6,9,100,0,144.65469207518876,0
TXN100281,208.48111143284513,4,11,42,0,181.12597867409372,0
TXN100282,70.8161886262267,4,15,41,0,98.78331679494876,0
TXN100283,165.80797155910713,4,18,62,0,183.15617616996525,0
TXN100284,169.87075589225879,5,22,29,0,193.42254187615757,0
TXN100285,109.59911186890375,3,16,97,0,81.20066628927566,0
TXN100286,82.393999425429,5,21,19,0,61.45943219509734,0
TXN100287,351.95778063074516,5,10,25,0,329.87988910972814,0
TXN100288,152.78441609532442,5,20,120,0,166.5831858192628,0
TXN100289,178.88425823665355,3,8,38,0,180.68004548060094,0
TXN100290,167.43306329576404,3,15,74,0,171.50511093087457,0
TXN100291,92.57379759318043,4,21,37,0,69.20009087686772,0
TXN100292,337.9012528132083,6,8,78,0,296.8124521894201,0
TXN100293,189.05001582391216,7,7,44,0,153.17486518620058,0
TXN100294,842.7296417046498,3,17,13,1,884.7509849344779,0
TXN100295,230.39597490868405,6,9,108,0,259.379734776869,0
TXN100296,152.25450458473773,6,15,42,0,125.12735757975743,0
TXN100297,214.2612859908753,2,19,29,0,189.7680261846448,0
TXN100298,61.23181821853091,5,18,114,0,55.8948384604278,0
TXN100299,288.90325576701855,6,22,81,0,291.1222963933018,0
TXN100300,288.17669999675314,5,17,26,0,205.45658306166123,0
TXN100301,325.50272604582506,7,13,26,0,305.5512307407486,0
TXN100302,221.43529770078467,2,22,63,0,245.03078174926821,0
TXN100303,108.30214988314503,4,16,32,0,86.2643128379967,0
TXN100304,175.68667408705377,1,18,118,0,140.21803001877524,0
TXN100305,61.718651711258616,7,13,87,0,76.89985434688089,0
TXN100306,83.95096381511402,7,7,32,0,75.02297933304786,0
TXN100307,87.18014050140667,4,8,69,0,97.90302120422683,0
TXN100308,37.65749781334898,6,8,31,0,26.563677877629516,0
TXN100309,298.1562239741905,5,12,12,0,316.5426330533134,0
TXN100310,197.83717429334644,3,21,83,0,221.39872628864194,0
TXN100311,279.88910394549157,8,21,27,0,320.68065460686995,0
TXN100312,260.0952682266133,4,11,91,0,254.83946674328493,0
TXN100313,246.2234153189504,9,8,97,0,221.44186608545118,0
TXN100314,126.41429048003842,5,17,19,0,86.6838620965892,0
TXN100315,127.6077740746961,4,20,107,1,140.1925512154195,0
TXN100316,87.90733002383783,4,21,28,0,86.13249747300858,0
TXN100317,143.11313469398814,4,15,108,0,128.66308746636886,0
TXN100318,180.73217245455712,6,12,15,1,162.61200723352977,0
TXN100319,79.26064526867201,3,7,40,0,74.24929910163436,0
TXN100320,195.777843612515,7,14,66,0,207.17143490545914,0
TXN100321,82.47361811472791,10,14,33,0,103.15815173402075,0
TXN100322,204.53329875379893,3,18,116,0,199.07097452098142,0
TXN100323,117.59649901946469,7,20,78,0,91.00565411022004,0
TXN100324,924.6273991414442,11,17,19,0,831.1125987877979,0
TXN100325,518.6650614259396,4,15,86,0,453.39588213631566,0
TXN100326,280.36304745970136,2,8,14,0,364.29142164762237,0
TXN100327,237.17457949880404,4,14,49,0,229.66271752133918,0
TXN100328,59.25104016029758,5,21,38,0,66.27537392092046,0
TXN100329,54.356001758310995,7,20,68,0,46.75655660865204,0
TXN100330,264.56185094191204,8,18,37,0,237.9039091948398,0
TXN100331,173.63300476008928,4,11,16,0,157.34014350903976,0
TXN100332,4409.876310574849,26,2,16,0,2091.289900324746,1
TXN100333,433.2317937400808,6,11,16,1,439.39067421717914,0
TXN100334,121.7645698422187,4,14,113,0,108.8321649196044,0
TXN100335,52.95051544229381,4,15,79,0,65.18280336416636,0
TXN100336,131.4474579394886,4,15,79,0,145.29632066141792,0
TXN100337,87.42571940226675,7,19,117,0,91.99983085636498,0
TXN100338,91.58419786838581,3,11,99,0,83.51760930308235,0
TXN100339,193.70536989211453,3,17,94,0,178.09709345564065,0
TXN100340,364.2466908176189,4,15,34,0,397.49941665431896,0
TXN100341,2148.332651732736,28,2,12,1,355.14016648772144,1
TXN100342,185.07611045971947,5,21,48,0,186.116316690435,0
TXN100343,556.139446610901,6,9,112,0,490.63342172575994,0
TXN100344,750.1553086668121,4,16,94,0,525.0230457805437,0
TXN100345,382.9142312706629,2,8,37,0,417.9788420063206,0
TXN100346,144.70663374290163,3,16,64,0,140.93029193114864,0
TXN100347,44.51057893970707,4,7,84,0,37.256961252298034,0
TXN100348,83.57744178266644,14,12,90,0,59.148504486037744,0
TXN100349,53.98490024761804,9,20,63,0,59.57675766997652,0
TXN100350,236.84608030412122,4,18,24,0,225.6383953039819,0
TXN100351,192.78710355673394,2,18,93,0,183.47922874686162,0
TXN100352,72.5758726194463,5,15,28,0,94.7284862622624,0
TXN100353,75.13708956888729,4,22,36,0,65.31726109292079,0
TXN100354,74.99250102526457,6,17,100,1,53.393794471958515,0
TXN100355,341.65974920383536,6,19,112,0,276.5344863303825,0
TXN100356,208.41559497066103,2,12,22,0,187.5561787750785,0
TXN100357,201.50067497250606,3,15,41,0,219.3227145678319,0
TXN100358,198.18725986733878,7,10,107,0,210.83709973976397,0
TXN100359,178.2803175106011,7,16,72,0,147.77035402621178,0
TXN100360,109.0544929159366,7,7,43,0,129.10769998415088,0
TXN100361,123.55434736879576,9,11,81,0,107.49946543996587,0
TXN100362,243.13099830016088,5,18,53,0,263.8156694125703,0
TXN100363,111.53614584239163,2,19,108,0,87.16127861829058,0
TXN100364,82.33693660783348,5,17,103,0,105.26598041854878,0
TXN100365,67.34464303489762,2,10,28,0,58.196605709112774,0
TXN100366,406.12931266898227,5,22,75,0,447.17121555612925,0
TXN100367,143.6761050661206,6,22,92,0,133.9355316743055,0
TXN100368,192.9043668676775,5,11,67,0,181.07832411493234,0
TXN100369,1877.1438285936852,24,4,14,1,1114.687422438987,1
TXN100370,330.55947976210325,5,13,83,0,247.07991209669385,0
TXN100371,79.13311620748354,6,8,27,0,72.7608787351433,0
TXN100372,60.41395910845718,3,8,40,0,56.371215376286976,0
TXN100373,880.6653369545638,2,21,32,0,622.0268261396316,0
TXN100374,118.33977239089765,3,20,107,0,120.83272144501484,0
TXN100375,67.38790745784002,7,7,55,0,64.23123160421545,0
TXN100376,76.16035142909864,3,13,66,0,56.9548404876596,0
TXN100377,182.675271581828,4,16,20,0,148.69467355701664,0
TXN100378,153.9292638371885,4,7,75,0,81.40477374257712,0
TXN100379,74.6921349958972,7,20,47,0,67.85102690153327,0
TXN100380,51.8394931508241,5,22,104,0,44.808251715101825,0
TXN100381,1200.0,13,3,14,1,422.766697255174,1
TXN100382,171.38181695358358,3,9,58,0,163.19875965468913,0
TXN100383,264.3918785935563,3,16,118,0,287.1151231189379,0
TXN100384,186.4850899785273,9,10,100,0,200.7595133573111,0
TXN100385,331.6508809385362,5,8,85,0,311.116824801893,0
TXN100386,113.8606119916507,7,21,83,0,118.76325467180978,0
TXN100387,110.40702155639835,7,20,26,0,138.68697377227548,0
TXN100388,96.11833230374452,5,19,22,0,85.12668008768235,0
TXN100389,61.005252424242464,4,7,44,0,61.06744474334677,0
TXN100390,1200.0,25,2,10,1,648.3412167491595,1
TXN100391,95.46767294640867,4,9,35,0,95.39109127819371,0
TXN100392,636.026725172895,8,22,89,0,623.7971800187178,0
TXN100393,137.89930693486764,7,12,106,0,107.05772430848053,0
TXN100394,97.66218099524374,7,15,99,0,131.4330418140846,0
TXN100395,146.72518480604026,4,8,66,0,113.965341381494,0
TXN100396,134.68410801957305,3,7,53,0,125.54469868707534,0
TXN100397,192.36932334467326,5,12,59,0,203.13669838989873,0
TXN100398,139.2162785086767,4,17,69,0,111.60423739722019,0
TXN100399,1546.7760521743812,15,4,1,1,659.5489050139746,1
TXN100400,133.7282274580861,10,10,86,0,126.56622304182332,0
TXN100401,87.19303681635003,5,21,30,0,91.4961772225495,0
TXN100402,47.13423364307811,5,8,22,0,60.476719973918144,0
TXN100403,118.08543681187128,6,21,86,0,123.81045672819577,0
TXN100404,87.74107910727611,3,7,73,0,73.15786348973938,0
TXN100405,238.94077507805278,4,16,93,0,217.79594817402176,0
TXN100406,78.63288135170853,4,12,93,0,94.27429844959417,0
TXN100407,1903.1071222754022,30,4,2,1,814.6876068951382,1
TXN100408,1401.2642747078366,8,11,14,0,1426.056181195502,0
TXN100409,86.03408275235087,3,7,104,0,88.79424478083156,0
TXN100410,62.45403873406084,9,14,100,0,60.15936412795688,0
TXN100411,91.37513634238171,3,15,56,0,73.88393732103896,0
TXN100412,324.7091662269878,1,22,50,0,306.78213167720185,0
TXN100413,190.53141203653703,6,11,19,0,224.81857507799498,0
TXN100414,85.7952610363843,6,11,89,1,102.96468130448426,0
TXN100415,125.55493282755265,5,7,68,0,116.26967351339724,0
TXN100416,137.26928639576366,9,20,33,0,140.22086837318966,0
TXN100417,527.2054599884982,5,21,63,0,557.7439488495256,0
TXN100418,169.49543540363385,2,16,100,0,135.1328638067665,0
TXN100419,75.06958105630495,7,18,83,0,77.83435789738711,0
TXN100420,44.98226803536686,6,21,83,1,38.95365208653324,0
TXN100421,260.8783191193008,4,21,24,0,188.13896123977696,0
TXN100422,1200.0,15,1,8,1,470.3586208827745,1
TXN100423,244.20781862188178,4,18,23,0,211.61240255262186,0
TXN100424,113.667614189248,7,20,71,0,109.5141793389835,0
TXN100425,198.98048098424434,4,14,77,0,163.15904683778305,0
TXN100426,100.82912239379475,5,11,89,0,96.47515946222525,0
TXN100427,152.66447139415908,1,18,43,0,161.87746046511438,0
TXN100428,104.33923667528018,5,7,74,0,90.81216280235786,0
TXN100429,292.7421047190062,7,9,45,0,286.0928109238249,0
TXN100430,109.2786544718773,5,11,65,0,110.86567818210895,0
TXN100431,83.01807707016685,6,14,85,0,67.64930336981733,0
TXN100432,256.86750214113124,5,16,76,0,142.93311006982674,0
TXN100433,278.57333491127633,4,9,114,0,207.66680612837595,0
TXN100434,469.4120872992518,8,14,47,0,506.9694416395296,0
TXN100435,115.8989516910938,5,19,13,0,90.84510748626279,0
